Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	61735	3218329	753	0.0257
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	3218610	3318977	69	-0.249
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	3325037	3326796	4	0.6161
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	3326803	16869363	7876	-0.277
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	16871278	17005776	44	-0.684
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	17005978	17045761	33	0.0059
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	17048196	17190004	27	-0.5062
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	17190862	17236208	21	-0.127
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	17236220	17330149	66	0.1885
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	17336877	25582843	5228	-0.2763
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	25583291	25646744	28	0.2666
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	25646946	31599808	2994	-0.2843
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	31600476	71243479	24913	0.0355
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	71244830	71246668	5	-1.2918
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	71250754	104163499	21022	0.0108
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	104163787	104303403	27	-1.0522
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	104303501	106019205	920	0.0212
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	106019236	106022344	14	-0.4013
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	106022360	110227515	2669	0.0328
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	110232974	110240178	17	0.8889
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	110242953	112682862	1952	0.0144
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	112686349	112697012	23	0.415
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	112697174	152556144	8041	0.0319
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	152556414	152579825	22	-0.3791
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	152585718	152756538	174	0.1043
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	152756774	152768700	41	0.5083
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	152773905	158959575	3683	0.0366
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	158962039	158962796	2	-3.2735
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	158966864	164820919	4135	0.0095
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	164821782	164825007	3	-0.9702
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	164826754	169216937	3509	0.022
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_A02_777048	1	169233974	169238558	4	0.8202
