Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	61735	228706	18	-1.6126
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	228729	229158	3	0.423
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	229173	1729738	255	-0.2333
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	1729800	1755167	18	0.3614
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	1758650	1957913	65	-0.1227
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	1969749	2061969	22	-0.7002
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	2069681	16147181	8030	-0.1801
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	16147392	16149915	7	0.7523
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	16153497	16153925	6	-1.7697
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	16154201	17056457	386	-0.1939
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	17076467	17262232	84	-0.7695
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	17262247	35103827	10279	-0.1748
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	35103864	35114268	10	-1.2177
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	35115542	39128601	2191	-0.1715
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	39132430	39132432	3	1.4702
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	39132433	49270280	5852	-0.1628
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	49270823	49292932	21	-1.0416
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	49293473	72771367	15802	-0.1357
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	72771518	72779080	6	-2.4863
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	72779091	72797412	18	-0.8441
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	72798594	72805497	7	0.2819
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	72805808	72809372	5	-1.5511
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	72809431	106012754	21046	-0.1342
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	106013376	106022360	17	-1.5276
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	106022375	110224384	2657	-0.1175
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	110224427	110242953	32	-1.0311
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	110244998	111380020	861	-0.1772
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	111382479	111383779	12	0.574
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	111383912	145276470	6560	-0.1175
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	145280322	148660826	894	0.3843
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	148661188	149834778	274	0.0326
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	149834817	152555527	1422	0.3721
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	152555706	152586594	35	-1.7511
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	152590494	152757690	170	0.4545
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	152759678	152768338	35	-0.2167
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	152768359	169216937	11349	0.3869
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	169233974	169241766	7	1.3283
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	169242401	174796266	3525	0.3899
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	174796405	174801854	18	-0.3197
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	174801872	189648157	9922	0.3746
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	189648483	189648527	2	-2.4902
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	189652047	214637808	16774	0.3866
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	214638436	214638457	2	-1.6898
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	1	214639253	249224388	24036	0.386
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	12784	32651093	22609	0.1419
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	32651898	32804376	79	0.5994
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	32806491	34691069	1424	0.1336
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	34699315	34737057	46	1.026
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	34737163	35975973	877	0.1751
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	35977790	35986716	4	-1.5768
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	35986908	52754561	12168	0.155
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	52754728	52781295	28	1.2115
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	52781326	90255644	23045	0.1468
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	90262407	92101322	105	-0.365
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	92105338	108440736	7528	0.12
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	108446969	108480907	2	-1.8464
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	108492088	130793856	13354	0.1135
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	130793883	130916872	23	-0.4433
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	130917164	146865974	9596	0.0985
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	146866207	146878532	17	0.7661
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	146878645	180413362	20512	0.1267
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	180413371	180422137	31	-0.6043
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	2	180425643	243089456	38619	0.119
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	60345	16239063	12944	-0.1649
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	16240556	16241384	8	-1.2652
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	16243596	68746164	34927	-0.141
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	68746259	68747413	14	-1.3949
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	68748758	89405104	12673	-0.1298
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	89405117	89420488	44	-0.9291
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	89425814	98944763	3244	-0.147
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	98944834	98949314	29	-0.8944
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	98949421	129786286	18761	-0.1466
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	129786374	129806236	44	0.4891
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	129806924	163658943	20944	-0.141
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	163658945	163662371	10	0.7223
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	163662424	192877902	18610	-0.1375
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	192877962	192886503	22	0.5475
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	192886523	195400799	1488	-0.1329
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	195409946	195446597	21	0.4484
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	195446742	197049462	770	-0.1501
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	197054545	197056972	3	-1.6721
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	3	197058402	197896118	423	-0.1704
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	4	12281	66719	58	-0.7664
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	4	68821	9401132	5155	-0.1973
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	4	9404905	9449301	32	-0.6051
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	4	9451347	9470734	7	1.0219
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	4	9471258	10210294	549	-0.158
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	4	10210390	10235182	36	0.4694
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	4	10235268	10390715	172	-0.176
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	4	10392354	10400668	16	-1.0204
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	4	10402718	69261064	36334	-0.1306
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	4	69282205	69288142	5	-2.0367
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	4	69294799	69372003	15	-0.069
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	4	69374941	69505115	67	0.5424
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	4	69506334	115173700	27751	-0.1253
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_E07_585138	4	115175323	115184229	24	0.7554
