Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	61735	785925	55	-0.261
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	785989	25583341	14104	0.0306
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	25593128	25628631	20	0.6613
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	25636451	72768936	28841	0.0229
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	72771143	72811904	45	0.398
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	72812440	81888456	5784	-0.0162
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	81888602	81888605	2	1.109
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	81888667	86387737	3093	-0.0195
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	86392075	87462755	660	-0.6047
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	87466641	92836123	3556	0.012
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	92836424	93699111	409	-0.5972
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	93704326	95894137	1574	0.0225
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	95894325	95896226	3	-0.8552
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	95898117	97382638	879	-0.0109
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	97393882	98382482	568	-0.6652
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	98393255	102917943	2986	-0.002
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	102918493	103005084	49	-0.6081
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	103006761	104178038	512	-0.0127
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	104221531	104225568	11	-0.9462
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	104239689	106013376	932	-0.0283
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	106019205	106022375	17	0.4631
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	106024055	108766355	1964	0.0113
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	108769302	108817179	2	-2.4292
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	108828957	110058133	608	0.0383
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	110059493	110877085	539	-0.6497
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	110880586	111787872	729	0.0305
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	111788779	112028114	242	-0.6227
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	112033285	113233955	954	0.0155
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	113234179	115431599	1273	-0.5835
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	115441625	144949975	3663	0.0201
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	144957688	145080051	47	-0.3287
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	145083864	145187915	68	0.0204
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	145191217	145392524	37	-0.2581
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	145394955	147398560	788	0.0461
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	147398763	147478446	5	-0.9856
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	147554183	149243072	233	0.0422
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	149243241	149249447	17	0.5563
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	149254329	149545372	37	0.0469
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	149545386	149578722	4	-0.8196
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	149617451	152555527	1484	0.0371
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	152555706	152586238	31	-1.4933
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	152586278	196714873	29738	0.0029
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	196727850	196799159	77	0.2965
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	196799288	201473647	3078	-0.0068
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	201474400	201474544	2	-1.1914
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	201475220	217706849	11139	0.0013
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	217709890	217710560	3	-1.1392
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	1	217719563	249224388	21723	-0.002
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	12784	7517231	5815	-0.0267
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	7517402	8447979	729	-0.6362
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	8454703	8571076	114	-0.0354
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	8571139	10554288	1333	-0.6457
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	10555557	34701394	16114	0.0066
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	34701583	34737163	45	0.5392
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	34737556	41238235	4822	0.0051
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	41238443	41242868	17	-0.4715
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	41242948	86937687	30166	-0.0015
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	86953070	86953854	2	-1.6947
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	86970406	98154265	2145	0.0021
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	98157272	98161710	3	1.6051
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	98162189	123477014	15135	0.0055
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	123479899	123482241	9	-0.6531
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	123483653	126442223	1943	-0.016
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	126451651	126451913	2	-1.8882
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	126451932	133038729	3564	-0.0036
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	133046772	133114536	26	0.4571
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	133114639	186828436	33357	-0.0157
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	186828833	186904520	51	-0.5359
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	186912259	189089968	1182	-0.0442
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	189090190	189112348	11	-0.41
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	189112399	192271953	1840	0.0114
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	192276192	192279545	6	0.7994
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	192279901	208354955	9405	0.007
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	208355178	208359336	16	-0.5046
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	208359476	213181322	3042	-0.0255
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	213186549	213191812	24	-0.8136
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	2	213191825	243089456	19063	-0.0064
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	60345	6646543	5845	0.0132
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	6651128	6653332	23	-0.4776
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	6655078	68725751	41971	0.0102
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	68732028	68747329	14	0.8399
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	68747364	98937784	15949	-0.0157
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	98944458	98949056	27	-0.4417
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	98949069	125436237	16276	-0.0029
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	125443608	125458762	10	0.7906
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	125462329	128391626	1834	-6e-04
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	128391789	128412331	12	0.6954
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	128414161	158350118	18354	0.0024
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	158350884	158351545	2	-2.081
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	158358872	162532950	2619	-0.0027
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	162534730	162536583	2	-2.5657
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	162536823	162540490	4	-0.7244
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	162545716	167659756	2854	-0.0389
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	167660757	167661136	2	1.111
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	167665917	171787771	2578	0.0185
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	171791223	171792116	3	-1.046
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	171792713	182304544	6569	-0.0118
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	182308911	182309675	2	-1.3106
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	182319303	190345518	5479	0.0216
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	190346218	190346525	2	1.234
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	190349480	192880587	1751	-0.001
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	192880726	192882903	11	-0.8792
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	192886435	195422291	1493	0.0271
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	195422293	195473796	36	-0.2739
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B07_831360	3	195474182	197869530	1171	0.0438
