Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	61735	757469	46	0.3627
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	757923	17531582	9022	-0.1581
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	17534310	17534586	2	-3.0899
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	17537127	20173263	1885	-0.119
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	20173858	20175112	2	-2.6245
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	20175245	25583341	3186	-0.1134
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	25593128	25661501	29	0.65
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	25662005	57653157	18086	-0.1247
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	57653897	57654660	3	-2.9421
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	57658036	62114006	3366	-0.0914
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	62114951	62118187	2	-3.7345
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	62119809	72768916	7378	-0.1248
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	72768936	72811904	46	-1.6294
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	72812440	83829022	7101	-0.1488
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	83829357	83829980	3	-2.0552
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	83833922	104159384	12982	-0.117
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	104163499	104163787	2	-3.2619
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	104178038	106013376	945	-0.1578
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	106019205	106024055	18	0.6879
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	106024070	111331645	3493	-0.1148
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	111332006	111401704	93	0.1708
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	111401889	112690326	1054	-0.1207
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	112695965	112697241	23	-1.6554
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	112697376	119875105	4514	-0.1078
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	119875521	119875730	2	-2.0455
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	119879852	152555527	3522	0.0503
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	152555706	152586238	31	-2.0568
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	152586278	152759678	175	-0.0152
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	152761923	152768700	37	-1.7483
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	152773905	193155792	27149	0.0231
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	193156279	193156348	4	2.0411
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	193159723	210071062	11316	0.0281
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	210081613	210083984	3	-2.1248
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	210086552	216657848	4483	0.0273
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	216666358	216666721	2	-2.072
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	216666864	227102354	6978	0.0137
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	227103413	227103466	2	-2.6695
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	227103907	228699971	873	3e-04
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	228702618	228703440	3	-1.6293
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	228703444	229811169	726	0.0273
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	229816856	229820196	3	-3.769
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	1	229820456	249224388	14060	0.0188
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	12784	3147861	2173	-0.4128
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	3147938	3153495	8	-1.97
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	3154063	4641000	1180	-0.3685
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	4641479	4913966	236	-1.0801
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	4913984	4916604	8	-2.19
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	4916795	5004039	87	-1.0025
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	5166890	7647860	2214	-0.3744
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	7648655	7649025	2	-2.3633
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	7650726	8173699	412	-0.3697
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	8178201	8178735	4	-2.4435
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	8180673	13228673	3666	-0.3336
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	13229096	13238082	2	-2.8344
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	13239461	14703694	1023	-0.3585
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	14704949	14710092	12	-1.4439
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	14710364	34710810	13041	-0.3256
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	34710825	34711474	6	-2.3616
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	34716770	35967385	904	-0.3576
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	35968036	35997473	10	0.8762
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	35997504	52736636	12124	-0.351
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	52736777	52754480	13	0.0595
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	52754500	52759032	12	0.6896
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	52759115	52793504	34	0.0032
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	52793527	57777157	3610	-0.3539
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	57780007	57780132	3	-3.5306
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	57780492	79588189	13753	-0.3585
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	79589774	79589920	3	-2.6498
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	79591277	87398502	4616	-0.3848
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	87402854	91685414	1024	0.0454
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	91686706	91790075	26	-0.5378
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	91790449	97875777	969	0.0867
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	97876200	97876273	2	-1.9961
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	97876806	98118212	27	0.0615
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	98140747	98161710	8	1.5813
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	98162189	109954728	7488	0.0539
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	109955699	110457012	204	-0.4207
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	110457214	112253494	576	2e-04
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	112255472	112310841	13	-0.8684
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	112317365	133046772	12388	0.0451
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	133049047	133117260	28	0.761
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	133121946	141434901	5516	0.0296
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	141435073	141439713	2	-2.0485
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	141439812	146862085	3329	0.0152
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	146864404	146866934	24	1.0707
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	146877806	153787485	4208	0.0472
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	153796068	153796784	3	-1.7171
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	153800569	227248817	45098	0.0638
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	227248977	227249236	2	-2.6101
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	227251426	240011730	8187	0.0441
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	240012610	240026474	12	-0.7928
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	2	240030484	243089456	1660	0.0111
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E02_568928	3	60345	68746164	47881	0.0466
