Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	61735	740857	40	-0.6305
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	742293	7944264	3893	0.0135
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	7947273	16816090	4782	-0.3126
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	16819633	17005734	53	-0.7259
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	17005776	25582843	5391	-0.3102
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	25583291	25646946	29	-0.9966
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	25646986	30382007	2105	-0.3064
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	30382557	30384611	2	-2.9651
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	30384652	31621427	905	-0.3021
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	31623667	31625346	2	-3.1174
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	31625389	49809403	10327	-0.3017
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	49813307	49930849	56	-0.7382
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	49936667	106019236	36535	-0.299
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	106019310	106022375	15	0.8885
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	106024055	110233053	2670	-0.2857
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	110233118	110236947	11	-1.8273
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	110239522	120795414	7076	-0.287
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	120811674	121343796	89	0.3709
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	121355881	144545755	52	0.0099
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	144546946	144884334	28	-0.5163
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	144884345	148660826	1082	0.2809
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	148661188	148953996	31	-0.2275
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	149024802	149202593	81	-0.6291
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	149202745	149203331	4	0.4658
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	149203748	149290775	56	-0.707
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	149291599	149521846	27	-0.2756
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	149545372	149677141	14	0.3218
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	149691264	149732625	13	-0.4035
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	149732729	150029702	139	0.2785
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	150029983	150030776	2	2.0488
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	150033345	152553026	1327	0.3388
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	152555176	152586576	36	0.8988
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	152586594	152762762	186	0.3188
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	152762890	152767947	16	-0.3072
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	152767963	152976474	171	0.3058
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	152982054	153000714	8	-0.7765
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	153000978	189022973	24226	0.3227
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	189027223	189031361	7	-0.6226
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	189032480	196714873	5164	0.2984
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	196727850	196812507	94	-0.3928
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	196812530	240391740	30033	0.3151
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	240394015	240394139	6	-2.9051
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	240396105	243204389	2164	0.2846
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	243204404	243228147	7	-0.7305
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	243258063	248797122	3615	0.3189
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	248797213	248809369	6	1.4758
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	1	248818483	249224388	140	0.3463
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	12784	32868037	22719	0.0193
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	32873138	32874181	2	-1.9227
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	32876152	34691069	1395	-0.0128
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	34699315	34737057	46	0.8317
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	34737163	52754468	13041	0.0342
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	52754480	52781374	33	0.9984
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	52781397	75468168	14549	0.0353
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	75477824	75490861	10	-0.7933
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	75490968	87788759	7616	0.0292
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	87789025	87827978	13	-0.716
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	87839297	114362015	11334	0.0235
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	114362414	114362416	2	-2.2833
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	114380821	133079372	11250	0.0187
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	133080864	133117260	16	0.7135
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	133121946	133642534	458	0.0374
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	133645527	133914901	221	-0.3676
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	133915567	208346062	45181	0.0298
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	208349934	208359519	28	0.5206
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	208359560	213190212	3052	0.006
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	213190245	213191418	11	0.7461
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	2	213191725	243089456	19083	0.0149
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	60345	14155211	11531	0.0378
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	14160255	14214738	49	0.3922
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	14217289	37982108	16125	0.0407
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	37982461	37986928	17	-0.8756
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	37987106	42045416	2653	0.0557
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	42047651	42060757	6	-0.7553
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	42065005	46793377	2885	0.0488
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	46801817	46849589	40	-0.977
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	46859479	59757136	7136	0.0411
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	59757241	60131408	496	-0.2869
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	60131424	60281129	147	0.0177
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	60284869	60459938	184	-0.323
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	60461390	60537999	103	0.067
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	60538329	60714523	192	-0.2904
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	60714717	60736044	33	-0.9024
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	60736866	60775382	32	-1.5009
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	60775460	60921025	143	-0.7522
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	60921707	61004646	72	-0.3066
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	61005263	65188453	3562	0.0652
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	65189235	65210452	53	-0.8588
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	65216349	68746164	2425	0.0575
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	68746259	68747413	14	-1.3397
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	68748758	75568549	4940	0.0437
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	75572549	75586805	6	-2.1029
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	75595181	89394742	7724	0.0227
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	89405100	89405102	2	2.1381
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	89405104	98889760	3257	0.0237
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	98893510	98949314	63	-0.3266
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	98949421	129760622	18752	0.035
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	129761124	129806236	54	-1.4053
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	129806924	162512739	20304	0.0393
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	162513092	162625995	68	1.0352
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	162626572	174871901	7454	0.0331
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	174880865	175122554	266	-0.6469
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	175125580	192880473	11489	0.0327
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	192880587	192880726	2	-1.7239
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	192880831	195285664	1495	0.0347
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	195285898	195446922	29	-1.1718
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	3	195455508	197896118	1192	0.0053
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	12281	66719	58	-0.3961
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	68821	9456977	5192	-0.0168
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	9461230	9478849	6	-1.3121
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	9479035	10210390	549	0.0131
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	10214160	10231498	29	-1.9952
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	10234214	19222738	6829	0.0158
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	19226922	19229662	2	-1.5743
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	19232096	32394074	8814	0.0046
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	32400551	32400599	4	1.249
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	32401513	34786500	1350	-0.0147
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	34786955	34819211	34	-1.1393
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	34821340	45005755	6652	0.0222
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	45005852	45006335	4	-2.3896
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	45010969	49161758	2328	0.0274
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	49169946	52685993	34	-0.55
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	52686044	61497136	5809	0.0109
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	61500829	61501270	2	-2.4921
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	61503976	61936938	266	-0.0215
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	61940935	61941952	2	2.0119
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	61945686	63667834	939	-0.012
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	63669936	63671662	8	-1.2099
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	63679630	69255070	3440	-0.0051
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	69256760	69327063	15	-0.5829
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	69333814	69470134	64	0.4287
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	69472878	86179795	10249	0.0271
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	86180846	86184237	3	-1.6821
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	86184824	91746584	3519	0.0112
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G08_585112	4	91747456	92037951	217	-0.3194
