Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	61735	82170	9	0.4272
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	82315	1510801	216	-0.2402
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	1627918	1672603	17	-1.5516
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	1687587	3200337	505	-0.2612
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	3202445	3218329	6	-0.9424
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	3218610	16149915	7663	-0.207
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	16153497	16153925	6	-1.915
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	16154201	16155010	4	-0.8182
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	16165661	23053536	4280	-0.2156
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	23060250	23087478	28	-1.1349
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	23089261	25583341	1430	-0.2827
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	25593128	25628631	20	0.1715
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	25636451	30731522	2404	-0.2915
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	30731577	30738534	9	-0.9772
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	30739299	30739796	3	-3.149
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	30741496	34656384	2224	-0.2823
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	34656812	34657303	2	-2.6782
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	34661652	35091674	335	-0.2618
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	35102654	35102844	4	-1.8394
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	35103033	35103827	7	-0.7705
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	35103864	35104491	9	-1.7897
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	35114268	72788725	23884	-0.2825
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	72788844	72797412	9	-0.9665
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	72798594	80214479	4669	-0.2884
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	80218574	104155643	15437	0.2205
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	104155731	104163499	9	-0.7807
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	104163787	104260032	23	-0.0847
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	104260239	105641571	712	0.2129
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	105642553	108729759	2172	-0.2773
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	108734235	108737496	3	-2.0417
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	108739104	110227515	725	-0.2854
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	110232974	110240155	16	-0.9364
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	110240178	111359935	827	-0.2939
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	111360545	111388226	54	-0.0277
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	111392067	112690326	1079	-0.3159
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	112695965	112697390	25	0.2183
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	112705956	121482979	5186	-0.2807
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	144007049	145372563	276	0.3492
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	145382124	149229843	1028	0.5788
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	149242663	149246030	10	1.2325
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	149246275	149422459	41	0.5179
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	149422617	149664041	17	-0.1337
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	149676317	150632724	391	0.5742
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	150637494	150671398	42	-0.3378
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	150673364	152555527	1050	0.5854
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	152555706	152586540	33	-1.6174
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	152586576	189648157	25036	0.5851
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	189648483	189648527	2	-1.654
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	189652047	196714873	4747	0.5548
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	196727850	196815791	96	-0.0189
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	196816730	199111363	1381	0.5533
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	199111426	199114238	9	1.143
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	199114390	211646264	8505	0.5846
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	211647336	235778721	16500	0.2207
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	235784229	245545009	7272	0.5648
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	245545144	245546398	2	-1.0587
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	1	245549962	249224388	2308	0.601
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	12784	8510375	6607	0.5735
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	8518276	20815964	8983	0.2155
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	20817493	20823219	5	-0.5693
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	20823252	35975973	9453	0.2066
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	35977790	35987916	6	1.117
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	35987947	36335595	274	0.1942
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	36335596	36335599	4	-0.8624
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	36335602	38522932	1794	0.224
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	38523389	39799268	700	0.5577
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	39800033	41238235	1177	0.1995
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	41238443	41251265	25	-0.2888
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	41251278	52265663	7878	0.2141
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	52266907	52273900	2	-1.3057
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	52274829	87344738	22401	0.2054
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	87361172	87996372	186	0.7624
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	88024667	98063372	1869	0.2082
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	98118128	98274527	42	0.879
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	98277322	112299024	8258	0.1821
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	112310841	112376519	16	0.9076
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	112379314	171796381	36383	0.1774
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	171805870	171976294	89	-0.3394
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	171977767	208355338	21835	0.2131
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	208355696	208359336	13	-0.3858
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	208359476	229757006	13905	0.2122
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	229759479	229759913	8	-0.6073
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	229760083	236436519	4268	0.2125
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	236436555	236462884	22	-0.3434
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	236465074	236507632	24	0.1805
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	236514487	236541538	21	-0.2977
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C02_781882	2	236541829	241442726	3175	0.2098
