Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	61735	723317	38	0.087
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	728608	17190004	8708	-0.488
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	17190862	17262232	61	-0.132
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	17262247	22496703	3431	-0.4642
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	22501716	22507423	4	-2.1947
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	22508650	25583341	1793	-0.44
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	25593128	25646986	28	-1.0606
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	25661501	29764426	1740	-0.4255
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	29764800	29765602	2	-2.7562
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	29765644	30479770	415	-0.5053
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	30485510	30488561	5	-3.6607
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	30490594	31251051	629	-0.5142
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	31251264	31251698	2	-2.2778
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	31262005	31975960	372	-0.4201
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	31977063	31980298	6	-1.3054
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	31981400	32476769	239	-0.4226
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	32482916	34274794	883	-0.1237
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	34276694	34328648	61	-0.5103
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	34331317	34892913	445	-0.1451
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	34894960	35082968	119	-0.4621
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	35083065	35114268	30	-0.0833
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	35115542	35832710	334	-0.448
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	35833129	38601480	1479	-0.1318
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	38602073	38606400	2	-2.3551
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	38606455	51265284	7163	-0.1176
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	51267605	51367647	41	0.1441
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	51369399	53550187	1006	-0.1332
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	53551293	53551880	2	-2.0994
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	53554305	54766306	807	-0.15
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	54769867	54770424	2	-1.752
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	54770441	69886702	11149	-0.156
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	69886892	69889880	2	-1.8953
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	69890766	71302563	948	-0.0785
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	71305107	71314457	10	-1.39
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	71315832	72763370	868	-0.1597
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	72768418	72811904	49	-1.587
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	72812440	76434123	2183	-0.1439
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	76435147	91772807	10204	-0.4103
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	91780822	92193264	334	-0.1454
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	92193662	92195652	2	-2.3545
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	92196053	94738846	1412	-0.1497
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	94738982	106013376	6843	-0.4316
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	106019205	106022375	17	0.4219
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	106024055	106500349	301	-0.4022
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	106507045	110227515	2366	-0.1281
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	110232974	110242953	18	-1.1215
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	110244998	111338960	810	-0.1363
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	111340044	111401889	90	0.1243
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	111403495	112690326	1054	-0.1562
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	112695965	112706118	30	0.4484
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	112706128	144008335	5175	-0.1478
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	144008375	150803027	1882	0.2727
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	150808889	150809116	2	-3.9324
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	150811005	152555706	966	0.3226
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	152555767	152586117	29	0.9734
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	152586238	152751237	168	0.2981
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	152754630	152762890	23	-0.0201
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	152762903	152767864	12	0.6483
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	152767884	156830218	2091	0.3364
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	156832779	156859609	20	-0.4769
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	156867288	158866573	1522	0.2971
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	158868501	158869759	2	1.9518
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	158874818	159927798	710	0.3015
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	159928059	159928711	2	-1.0512
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	159931139	163881773	2788	0.2842
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	163884827	169216937	4211	-0.1205
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	169233974	169241766	7	1.0662
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	169242401	171941708	1882	-0.008
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	171942488	171942783	2	-1.0976
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E09_781832	1	171944418	179439630	4817	0.2448
